Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,True,1.0,44,3,100
0.001,10,1000,True,1.0,45,3,100
0.001,10,1000,True,2.0,28,3,100
0.001,10,1000,True,2.0,31,3,100
0.001,10,1000,True,3.0,0,3,100
0.001,10,1000,True,3.0,9,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,4.0,7,3,100
0.001,10,1000,True,5.0,9,3,100
0.001,10,1000,True,5.0,9,3,100
0.001,100,1000,True,1.0,54,3,100
0.001,100,1000,True,1.0,52,3,100
0.001,100,1000,True,2.0,53,3,100
0.001,100,1000,True,2.0,62,3,100
0.001,100,1000,True,3.0,26,3,100
0.001,100,1000,True,3.0,40,3,100
0.001,100,1000,True,4.0,34,3,100
0.001,100,1000,True,4.0,46,3,100
0.001,100,1000,True,5.0,37,3,100
0.001,100,1000,True,5.0,43,3,100
0.001,1000,1000,True,1.0,52,3,100
0.001,1000,1000,True,1.0,61,3,100
0.001,1000,1000,True,2.0,82,3,100
0.001,1000,1000,True,2.0,85,3,100
0.001,1000,1000,True,3.0,79,3,100
0.001,1000,1000,True,3.0,79,3,100
0.001,1000,1000,True,4.0,76,3,100
0.001,1000,1000,True,4.0,76,3,100
0.001,1000,1000,True,5.0,77,3,100
0.001,1000,1000,True,5.0,82,3,100
0.01,10,1000,True,1.0,53,3,100
0.01,10,1000,True,1.0,55,3,100
0.01,10,1000,True,2.0,76,3,100
0.01,10,1000,True,2.0,80,3,100
0.01,10,1000,True,3.0,83,3,100
0.01,10,1000,True,3.0,85,3,100
0.01,10,1000,True,4.0,90,3,100
0.01,10,1000,True,4.0,88,3,100
0.01,10,1000,True,5.0,93,3,100
0.01,10,1000,True,5.0,87,3,100
0.01,100,1000,True,1.0,62,3,100
0.01,100,1000,True,1.0,58,3,100
0.01,100,1000,True,2.0,92,3,100
0.01,100,1000,True,2.0,91,3,100
0.01,100,1000,True,3.0,97,3,100
0.01,100,1000,True,3.0,98,3,100
0.01,100,1000,True,4.0,98,3,100
0.01,100,1000,True,4.0,99,3,100
0.01,100,1000,True,5.0,99,3,100
0.01,100,1000,True,5.0,99,3,100
