Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,False,1,1,3,100
0.001,10,1000,False,1,6,3,100
0.001,10,1000,False,2,6,3,100
0.001,10,1000,False,2,21,3,100
0.001,10,1000,False,3,3,3,100
0.001,10,1000,False,3,3,3,100
0.001,10,1000,False,4,10,3,100
0.001,10,1000,False,4,12,3,100
0.001,10,1000,False,5,1,3,100
0.001,10,1000,False,5,0,3,100
0.001,100,1000,False,1,28,3,100
0.001,100,1000,False,1,37,3,100
0.001,100,1000,False,2,31,3,100
0.001,100,1000,False,2,43,3,100
0.001,100,1000,False,3,40,3,100
0.001,100,1000,False,3,49,3,100
0.001,100,1000,False,4,19,3,100
0.001,100,1000,False,4,28,3,100
0.001,100,1000,False,5,22,3,100
0.001,100,1000,False,5,43,3,100
0.001,1000,1000,False,1,64,3,100
0.001,1000,1000,False,1,73,3,100
0.001,1000,1000,False,2,79,3,100
0.001,1000,1000,False,2,82,3,100
0.001,1000,1000,False,3,70,3,100
0.001,1000,1000,False,3,74,3,100
0.001,1000,1000,False,4,62,3,100
0.001,1000,1000,False,4,77,3,100
0.001,1000,1000,False,5,62,3,100
0.001,1000,1000,False,5,77,3,100
0.01,10,1000,False,1,87,3,100
0.01,10,1000,False,1,93,3,100
0.01,10,1000,False,2,83,3,100
0.01,10,1000,False,2,87,3,100
0.01,10,1000,False,3,87,3,100
0.01,10,1000,False,3,84,3,100
0.01,10,1000,False,4,78,3,100
0.01,10,1000,False,4,82,3,100
0.01,10,1000,False,5,82,3,100
0.01,10,1000,False,5,84,3,100
0.01,100,1000,False,1,97,3,100
0.01,100,1000,False,1,97,3,100
0.01,100,1000,False,2,94,3,100
0.01,100,1000,False,2,97,3,100
0.01,100,1000,False,3,91,3,100
0.01,100,1000,False,3,99,3,100
0.01,100,1000,False,4,94,3,100
0.01,100,1000,False,4,96,3,100
0.01,100,1000,False,5,96,3,100
0.01,100,1000,False,5,97,3,100
0.01,1000,1000,False,1,100,3,100
0.01,1000,1000,False,1,100,3,100
0.01,1000,1000,False,2,100,3,100
0.01,1000,1000,False,2,100,3,100
0.001,10,1000,False,1,4,3,100
0.001,10,1000,False,1,12,3,100
0.001,10,1000,False,2,16,3,100
0.001,10,1000,False,2,22,3,100
0.001,10,1000,False,3,7,3,100
0.001,10,1000,False,3,7,3,100
0.001,10,1000,False,4,2,3,100
0.001,10,1000,False,4,3,3,100
0.001,10,1000,False,5,0,3,100
0.001,10,1000,False,5,8,3,100
0.001,100,1000,False,1,25,3,100
0.001,100,1000,False,1,34,3,100
0.001,100,1000,False,2,37,3,100
0.001,100,1000,False,2,49,3,100
0.001,100,1000,False,3,31,3,100
0.001,100,1000,False,3,46,3,100
0.001,100,1000,False,4,29,3,100
0.001,100,1000,False,4,43,3,100
0.001,100,1000,False,5,34,3,100
0.001,100,1000,False,5,43,3,100
0.001,1000,1000,False,1,70,3,100
0.001,1000,1000,False,1,79,3,100
0.001,1000,1000,False,2,68,3,100
0.001,1000,1000,False,2,73,3,100
0.001,1000,1000,False,3,76,3,100
0.001,1000,1000,False,3,79,3,100
0.001,1000,1000,False,4,76,3,100
0.001,1000,1000,False,4,83,3,100
0.001,1000,1000,False,5,71,3,100
0.001,1000,1000,False,5,82,3,100
